question,ormawa_id
"Divisi Audit bertugas untuk mengawasi kegiatan-kegiatan ORMAWA FT dari segi proposal LPJ, dan audit lapangan (saat kegiatan berlangsung). Pernyataan tersebut benar atau salah?",1
Apa nama peraturan yang hanya mengatur satu ormawa tertentu dan diperiksa oleh DPM?,1
Ada berapa total divisi dalam DPM FT ini?,1
Salah satu Program Kerja DPM FT yang bertujuan untuk pengembangan sikap kepemimpinan melalui pembekalan materi oleh pembicara dan sharing oleh alumni DPM-FT adalah Program Kerja GBPK SA & MKB. Pernyataan tersebut benar atau salah?,1
Aspirasi mahasiswa Fakultas Teknik dapat disampaikan melalui DPM FT untuk diteruskan ke Dekanat Fakultas Teknik. Pernyataan tersebut benar atau salah?,1
Di manakah letak ruangan KMM PPM?,2
Ada berapa divisi dalam KMM PPM yang tidak termasuk BPH?,2
Commanther merupakan salah satu Program Kerja yang diadakan oleh KMM PPM. Pernyataan tersebut benar atau salah?,2
"Benar atau salah, KMM PPM pernah melakukan kegiatan live in untuk melayani masyarakat?",2
Apa slogan KMM PPM?,2
Terdapat 5 divisi termasuk BPH yang ada di KMM RK. Pernyataan tersebut benar atau salah?,3
"Berikut divisi yang ada di KMM RK, KECUALI?",3
Salah satu Program Kerja Tahunan KMM RK yang mengadakan Talkshow dan lomba Broadcasting dengan mengundang Guest Star adalah?,3
Salah satu tugas dari divisi producer adalah mengedit audio. Pernyataan tersebut benar atau salah?,3
"Jika seorang mahasiswa ingin mendaftar KMM RK dan ia memiliki kemampuan yang baik dalam mengatur jadwal, sehingga kompeten untuk mengatur jadwal siaran RK, maka mahasiswa tersebut tepat untuk mendaftar di divisi?",3
Dalam divisi sports terdapat cabang bulu tangkis. Pernyataan tersebut benar atau salah?,4
Fungsi divisi DDD dalam kmm sports digunakan untuk promosi. Pernyataan tersebut benar atau salah?,4
"Ivy sangat ingin bergabung dengan KMM Sports, namun dia kurang yakin dengan kemampuan olahraganya. Tapi di sisi lain Ivy sangat mahir bermain game online. Divisi apa yang cocok dengan kondisi Ivy saat ini?",4
"Latihan rutin, ESCAPE (Engineering Sports Competition), ORMAWA Cup termasuk ke dalam Program Kerja Eksternal KMM Sports. Pernyataan tersebut benar atau salah ?",4
Ada berapa total divisi di KMM Sports yang tidak termasuk BPH?,4
Apa jargon KSM Foto dan Media?,5
Ada berapa banyak acara eksternal yang diadakan oleh KSM Foto dan Media?,5
Ada berapa divisi di KSM Foto dan Media yang tidak termasuk BPH?,5
Di mana letak ruangan KSM FOTMED?,5
Benar atau salah kepanjangan dari divisi PDH KSM Foto dan Media adalah Photography and Digital Hunter?,5
"Divisi apa yang memiliki tugas untuk� menjalin hubungan dengan pihak luar KSM (baik dalam lingkup UBAYA, maupun luar UBAYA)?",6
Ada berapa total divisi termasuk BPH yang ada di KSM IF ini?,6
Singkatan Divisi HRDD dalam KSM IF adalah Human Resource Department Development. Pernyataan tersebut benar atau salah?,6
Kunjungan edukatif ke perusahaan untuk menambah wawasan mahasiswa tentang dunia kerja dan industri secara langsung merupakan Program Kerja KSM IF yaitu STUDI EKSKURSI. Pernyataan tersebut benar atau salah?,6
Yang memiliki tugas untuk memimpin KSM IF agar dapat berjalan dengan baik dan dapat mencapai visi dan misi KSM IF adalah tugas BPH yakni Ketua. Pernyataan tersebut benar atau salah?,6
Dibawah ini salah satu Program Kerja KSM TE adalah KECUALI?,7
Ada berapa divisi di KSM TE yang tidak termasuk BPH?,7
Salah satu proker KSM Teknik Elektro adalah pelatihan IoT yang bertujuan untuk meningkatkan ketertarikan pelajar terhadap teknologi IoT. Pernyataan tersebut benar atau salah?,7
"Benar atau salah, warna kuning pada maskot KSM Teknik Elektro menekankan unsur teknologi yang dekat dengan KSM Teknik Elektro?",7
"Benar atau atau salah, divisi yang bertugas untuk mengelola sosial media KSM Teknik Elektro adalah CDD?",7
Divisi yang bertugas untuk menjalin hubungan serta relasi dengan eksternal KSM TI adalah tugas dari divisi?,8
Ada berapa total divisi yang ada di KSM TI yang tidak termasuk BPH?,8
Gathering merupakan salah salah satu Program Kerja divisi Relation. Pernyataan tersebut benar atau salah?,8
Divisi Entrepreneur memiliki tugas untuk meningkatkan kemampuan hardskill KSM TI. Pernyataan tersebut benar atau salah?,8
Salah satu Program Kerja divisi Lifeskill adalah Sarasehan. Pernyataan tersebut benar atau salah?,8
Salah satu program kerja KSM Teknik Kimia adalah Dialog Dosen Mahasiswa. Pernyataan tersebut benar atau salah?,9
Salah satu program kerja KSM Teknik Kimia berupa kegiatan perkenalkan jurusan bagi siswa-siswi SMA adalah?,9
Apa saja divisi yang ada di KSM Teknik Kimia?,9
Tugas dari divisi IPD adalah membangun dan menjaga kekeluargaan antara anggota KSM TK. Pernyataan tersebut benar atau salah?,9
Kegiatan rutin tahunan bagi warga Teknik Kimia yang diwadahi oleh KSM Teknik Kimia berupa kunjungan ke perusahaan-perusahaan di luar kota adalah?,9
"Benar atau salah, terdapat 3 divisi dalam KSM TMM?",10
Apa slogan KSM TMM?,10
Benar atau salah tugas dari divisi Eksternal KSM TMM adalah meningkatkan hardskill dan softskill para anggota KSM melalui kegiatan yang diadakan di dalam lingkup KSM?,10
Berikut merupakan divisi yang ada di KSM TMM kecuali?,10
Divisi yang bertugas untuk melakukan kajian tentang teknologi yang sedang berkembang di dunia manufaktur dan memberikan pelatihan yang dapat berguna di dunia kuliah maupun kerja adalah?,10
Ada berapa total divisi di BEM FT yang tidak termasuk BPH?,11
Tugas dari divisi ID adalah mengurus peminjaman barang inventaris BEM FT. Pernyataan tersebut benar atau salah?,11
Singkatan dari IDD� pada salah satu divisi di BEM FT adalah Information and Design Department. Pernyataan tersebut benar atau salah?,11
Rapat Kerja Sama ORMAWA FT merupakan salah satu Program Kerja yang diadakan oleh BEM FT. Pernyataan tersebut benar atau salah?,11
Mengurus segala administrasi berupa pengauditan proposal dan laporan pertanggungjawaban dari ORMAWA FT adalah tugas dari divisi?,11
